,price,make,model,year,title_status,mileage,color,vin,state,country
2,5350,dodge,mpv,2018,clean vehicle,39590.0,silver,  3c4pdcgg5jt346413,ga, usa
3,25000,ford,door,2014,clean vehicle,64146.0,blue,  1ftfw1et4efc23745,va, usa
4,27700,chevrolet,1500,2018,clean vehicle,6654.0,red,  3gcpcrec2jg473991,fl, usa
5,5700,dodge,mpv,2018,clean vehicle,45561.0,white,  2c4rdgeg9jr237989,tx, usa
7,13350,gmc,door,2017,clean vehicle,23525.0,gray,  1gks2gkc3hr326762,ca, usa
8,14600,chevrolet,malibu,2018,clean vehicle,9371.0,silver,  1g1zd5st5jf191860,fl, usa
9,5250,ford,mpv,2017,clean vehicle,63418.0,black,  2fmpk3j92hbc12542,tx, usa
10,10400,dodge,coupe,2009,clean vehicle,107856.0,orange,  2b3lj54t49h509675,ga, usa
11,12920,gmc,mpv,2017,clean vehicle,39650.0,white,  1gks2bkc6hr136280,ca, usa
12,31900,chevrolet,1500,2018,clean vehicle,22909.0,black,  3gcukrec0jg176059,tn, usa
14,20700,ford,door,2013,clean vehicle,100757.0,black,  1ftfw1et7dfa47790,va, usa
15,12710,gmc,door,2017,clean vehicle,25747.0,white,  1gks2gkc6hr328389,ca, usa
16,5200,kia,forte,2018,clean vehicle,46194.0,blue,  3kpfk4a77je198723,nc, usa
17,16500,buick,encore,2018,clean vehicle,20002.0,red,  kl4cj1sb6jb688844,tn, usa
18,5210,ford,mpv,2017,clean vehicle,35714.0,white,  2fmpk3j95hbb73607,tx, usa
19,38100,ford,door,2013,clean vehicle,54380.0,gray,  1ft8w3dt5deb68569,va, usa
20,12520,gmc,door,2017,clean vehicle,30114.0,white,  1gks2gkcxhr328380,ca, usa
21,7300,kia,forte,2018,clean vehicle,38823.0,black,  3kpfl4a79je272611,nc, usa
22,15000,chevrolet,door,2015,clean vehicle,61578.0,black,  2gnflhe33f6214023,oh, usa
23,6180,ford,mpv,2017,clean vehicle,46010.0,blue,  2fmpk3j84hbc09276,tx, usa
24,20800,ford,door,2013,clean vehicle,105510.0,silver,  1ftfw1efxdfa01008,va, usa
25,11900,gmc,door,2017,clean vehicle,28040.0,silver,  1gks2gkc2hr327918,ca, usa
26,21500,kia,sorento,2020,clean vehicle,11451.0,blue,  5xypg4a59lg616029,nc, usa
27,12000,buick,door,2014,clean vehicle,31039.0,brown,  1g4ps5sk1e4188639,oh, usa
28,4190,ford,doors,2017,clean vehicle,44174.0,white,  1fadp5auxhl109013,tx, usa
29,13000,ford,chassis,2008,clean vehicle,93698.0,white,  1fdwf37r28eb95687,tn, usa
30,12710,gmc,door,2017,clean vehicle,26364.0,silver,  1gks2gkc6hr326335,ca, usa
31,18500,infiniti,q70,2016,clean vehicle,71967.0,gray,  jn1by1ar7gm271292,ny, usa
33,5330,ford,mpv,2017,clean vehicle,37792.0,no_color,  2fmpk3j9xhbb56401,tx, usa
34,13000,ford,convertible,2003,clean vehicle,58817.0,gray,  1fahp60a63y107799,va, usa
35,11900,gmc,door,2017,clean vehicle,27965.0,black,  1gks2gkc2hr328793,ca, usa
36,16600,mercedes-benz,vans,2016,clean vehicle,110907.0,white,  8btpe7dd4ge127040,ny, usa
37,19200,chevrolet,1500,2018,clean vehicle,2430.0,white,  1gcncneh5jz302471,tn, usa
38,7320,ford,mpv,2017,clean vehicle,32366.0,gold,  2fmpk4k96hbb16692,tx, usa
40,12710,gmc,door,2017,clean vehicle,30049.0,white,  1gks2gkc6hr325461,ca, usa
41,16600,mercedes-benz,vans,2016,clean vehicle,97983.0,white,  wd4pe7dd1gp253504,ny, usa
42,30500,chevrolet,1500,2018,clean vehicle,30442.0,red,  3gcukrec4jg204915,tn, usa
43,6330,ford,mpv,2017,clean vehicle,38123.0,red,  2fmpk3j85hbb79415,tx, usa
45,12520,gmc,door,2017,clean vehicle,28972.0,black,  1gks2gkcxhr324555,ca, usa
46,16200,jeep,compass,2019,clean vehicle,30061.0,red,  3c4njccb3kt676336,nc, usa
47,19000,chevrolet,malibu,2017,clean vehicle,18414.0,white,  1g1zh5sx9hf118136,tn, usa
48,5580,dodge,mpv,2017,clean vehicle,46829.0,gray,  3c4pddeg7ht595704,tx, usa
50,12710,gmc,mpv,2017,clean vehicle,39886.0,red,  1gks2bkc7hr133811,ca, usa
51,16000,jeep,compass,2019,clean vehicle,31594.0,silver,  3c4njccb0kt676343,nc, usa
52,27000,buick,enclave,2017,clean vehicle,32107.0,no_color,  5gakrckdxhj113512,tn, usa
53,7760,ford,mpv,2017,clean vehicle,44794.0,gray,  2fmpk4j87hbb21750,tx, usa
